subjectID,first_second_session,combination_of_trials,inserted_position,first_target,second_target,order_of_stimulus,subject,date,c1,c2,c3,c4,c5,c6,c7,c8,c9,retention_task,age
15,2,2,#6,4,8,5,16,2022/9/17,0,0,0,1,0,0,0,1,0,1,children
15,2,2,#9,5,9,6,16,2022/9/17,0,0,0,0,0,1,0,0,1,2,children
15,2,2,#6,4,7,7,16,2022/9/17,0,0,0,1,0,1,0,0,0,2,children
15,2,2,#6,6,9,8,16,2022/9/17,0,0,0,0,1,0,0,0,1,1,children
15,2,2,#9,5,7,9,16,2022/9/17,0,0,0,1,0,0,1,0,0,2,children
15,2,2,#6,5,7,10,16,2022/9/17,0,0,0,0,1,0,1,0,0,1,children
15,2,2,#9,5,8,11,16,2022/9/17,0,0,0,0,1,0,0,1,0,2,children
15,2,2,#9,0,8,12,16,2022/9/17,0,0,0,0,0,0,0,1,0,2,children
1,1,2,#9,0,5,1,17,2022/9/17,0,0,0,0,1,0,0,0,0,2,children
1,1,2,#9,6,9,2,17,2022/9/17,0,0,0,0,1,0,0,0,1,2,children
1,1,2,#6,5,8,3,17,2022/9/17,0,0,0,0,1,0,0,1,0,1,children
1,1,2,#9,0,9,4,17,2022/9/17,0,0,0,0,0,0,0,0,1,2,children
1,1,2,#6,4,9,5,17,2022/9/17,0,0,0,1,0,0,0,0,0,1,children
1,1,2,#9,0,6,6,17,2022/9/17,0,0,0,0,0,1,0,0,0,2,children
1,1,2,#9,4,7,7,17,2022/9/17,0,0,0,1,0,0,1,0,0,2,children
1,1,2,#6,5,9,8,17,2022/9/17,0,0,0,0,1,0,0,0,0,1,children
1,1,2,#9,4,9,9,17,2022/9/17,0,0,0,1,0,0,0,0,1,2,children
1,1,2,#9,6,8,10,17,2022/9/17,0,0,0,0,0,1,0,1,0,2,children
1,1,2,#9,4,8,11,17,2022/9/17,0,0,0,1,0,0,0,1,0,2,children
1,1,2,#6,6,7,12,17,2022/9/17,0,0,0,0,0,1,0,0,0,1,children
2,2,1,#9,4,7,1,18,2022/9/17,0,0,0,0,0,0,0,0,1,2,children
2,2,1,#9,6,8,2,18,2022/9/17,0,0,0,0,0,0,0,0,1,2,children
2,2,1,#9,5,8,3,18,2022/9/17,0,0,0,0,0,0,0,0,1,2,children
2,2,1,#6,6,7,4,18,2022/9/17,0,0,0,0,1,0,0,0,0,1,children
2,2,1,#9,0,5,5,18,2022/9/17,0,0,0,0,0,0,0,0,1,2,children
2,2,1,#9,5,7,6,18,2022/9/17,0,0,0,0,0,0,0,0,1,2,children
2,2,1,#6,4,8,7,18,2022/9/17,0,0,0,0,0,1,0,0,0,1,children
